1,Ciencias Naturales,1-3,Me aproximo al conocimiento como científico-a natural,Observo mi entorno,2020-01-25 17:59:38-05
163,Ciencias Sociales,4-5,Me aproximo al conocimiento como científico(a) social,Establezco relaciones entre información localizada en diferentes fuentes y propongo respuestas a las preguntas que planteo.,2020-01-25 18:12:03.453072-05
164,Ciencias Sociales,4-5,Me aproximo al conocimiento como científico(a) social,"Reconozco que los fenómenos estudiados tienen diversos aspectos que deben ser tenidos en cuenta (cambios a lo largo del tiempo, ubicación geográfica, aspectos económicos…).",2020-01-25 18:12:03.453072-05
165,Ciencias Sociales,4-5,Me aproximo al conocimiento como científico(a) social,Reviso mis conjeturas iniciales.,2020-01-25 18:12:03.453072-05
166,Ciencias Sociales,4-5,Me aproximo al conocimiento como científico(a) social,"Utilizo diversas formas de expresión (exposición oral, dibujos, carteleras, textos cortos…) para comunicar los resultados de mi investigación.",2020-01-25 18:12:03.453072-05
167,Ciencias Sociales,4-5,Me aproximo al conocimiento como científico(a) social,"Doy crédito a las diferentes fuentes de la información obtenida (cuento a mis compañeros a quién entrevisté, qué libros leí, qué dibujos comparé, cito información de fuentes escritas…).",2020-01-25 18:12:03.453072-05
168,Ciencias Sociales,4-5,Relaciones con la historia y las culturas,"Identifico y explico fenómenos sociales y económicos que permitieron el paso del nomadismo al sedentarismo (agricultura, división del trabajo...).",2020-01-25 18:12:03.453072-05
169,Ciencias Sociales,4-5,Relaciones con la historia y las culturas,"Identifico y describo características sociales, políticas, económicas y culturales de las primeras organizaciones humanas (banda, clan, tribu...).",2020-01-25 18:12:03.453072-05
170,Ciencias Sociales,4-5,Relaciones con la historia y las culturas,Comparo características de las primeras organizaciones humanas con las de las organizaciones de mi entorno.,2020-01-25 18:12:03.453072-05
171,Ciencias Sociales,4-5,Relaciones con la historia y las culturas,"Identifico algunas condiciones políticas, sociales, económicas y tecnológicas que permitieron las exploraciones de la antigüedad y el medioevo.",2020-01-25 18:12:03.453072-05
172,Ciencias Sociales,4-5,Relaciones con la historia y las culturas,Establezco algunas relaciones entre exploraciones de la antigüedad y el medioevo y exploraciones de la actualidad.,2020-01-25 18:12:03.453072-05
173,Ciencias Sociales,4-5,Relaciones con la historia y las culturas,"Identifico, describo y comparo algunas características sociales, políticas, económicas y culturales de las comunidades prehispánicas de Colombia y América.",2020-01-25 18:12:03.453072-05
174,Ciencias Sociales,4-5,Relaciones con la historia y las culturas,Relaciono estas características con las condiciones del entorno particular de cada cultura.,2020-01-25 18:12:03.453072-05
175,Ciencias Sociales,4-5,Relaciones con la historia y las culturas,"Comparo características de los grupos prehispánicos con las características sociales, políticas, económicas y culturales actuales.",2020-01-25 18:12:03.453072-05
176,Ciencias Sociales,4-5,Relaciones con la historia y las culturas,Identifico los propósitos de las organizaciones coloniales españolas y describo aspectos básicos de su funcionamiento.,2020-01-25 18:12:03.453072-05
177,Ciencias Sociales,4-5,Relaciones con la historia y las culturas,"Identifico y comparo algunas causas que dieron lugar a los diferentes períodos históricos en Colombia (Descubrimiento,  Colonia, Independencia...).",2020-01-25 18:12:03.453072-05
178,Ciencias Sociales,4-5,Relaciones espaciales y ambientales,"Me ubico en el entorno físico utilizando referentes espaciales (izquierda, derecha, puntos cardinales).",2020-01-25 18:12:03.453072-05
179,Ciencias Sociales,4-5,Relaciones espaciales y ambientales,"Utilizo coordenadas, escalas y convenciones para ubicar los fenómenos históricos y culturales en mapas y planos de representación.",2020-01-25 18:12:03.453072-05
180,Ciencias Sociales,4-5,Relaciones espaciales y ambientales,"Identifico y describo características de las diferentes regiones naturales del mundo (desiertos, polos, selva húmeda tropical, océanos…).",2020-01-25 18:12:03.453072-05
181,Ciencias Sociales,4-5,Relaciones espaciales y ambientales,"Identifico y describo algunas de las características humanas (sociales, culturales…) de las diferentes regiones naturales del mundo.",2020-01-25 18:12:03.453072-05
182,Ciencias Sociales,4-5,Relaciones espaciales y ambientales,"Clasifico y describo diferentes actividades económicas (producción, distribución, consumo…) en diferentes sectores económicos (agrícola, ganadero, minero, industrial...) y reconozco su impacto en las comunidades.",2020-01-25 18:12:03.453072-05
183,Ciencias Sociales,4-5,Relaciones espaciales y ambientales,"Reconozco los diferentes usos que se le dan a la tierra y a los recursos naturales en mi entorno y en otros (parques naturales, ecoturismo, ganadería, agricultura…).",2020-01-25 18:12:03.453072-05
184,Ciencias Sociales,4-5,Relaciones espaciales y ambientales,"Identifico organizaciones que resuelven las necesidades básicas (salud, educación, vivienda, servicios públicos, vías de comunicación…) en mi comunidad, en otras y en diferentes épocas y culturas; identifico su impacto sobre el desarrollo.",2020-01-25 18:12:03.453072-05
185,Ciencias Sociales,4-5,Relaciones ético políticas,"Identifico y describo algunas características de las organizaciones político-administrativas colombianas en diferentes épocas (Real Audiencia, Congreso, Concejo Municipal…).",2020-01-25 18:12:03.453072-05
186,Ciencias Sociales,4-5,Relaciones ético políticas,Comparo características del sistema político-administrativo de Colombia –ramas del poder público– en las diferentes épocas.,2020-01-25 18:12:03.453072-05
187,Ciencias Sociales,4-5,Relaciones ético políticas,Explico semejanzas y diferencias entre organizaciones político-administrativas.,2020-01-25 18:12:03.453072-05
188,Ciencias Sociales,4-5,Relaciones ético políticas,"Explico el impacto de algunos hechos históricos en la formación limítrofe del territorio colombiano (Virreinato de la Nueva Granada, Gran Colombia, separación de Panamá…).",2020-01-25 18:12:03.453072-05
189,Ciencias Sociales,4-5,Relaciones ético políticas,"Reconozco las responsabilidades que tienen las personas elegidas por voto popular y algunas características de sus cargos (personeros estudiantiles, concejales, congresistas, presidente…)",2020-01-25 18:12:03.453072-05
190,Ciencias Sociales,4-5,Relaciones ético políticas,"Conozco los Derechos de los Niños e identifico algunas instituciones locales, nacionales e internacionales que velan por su cumplimiento (personería estudiantil, comisaría de familia, Unicef…)",2020-01-25 18:12:03.453072-05
191,Ciencias Sociales,4-5,Desarrollo compromisos personales y sociales,Reconozco y respeto diferentes puntos de vista acerca de un fenómeno social.,2020-01-25 18:12:03.453072-05
192,Ciencias Sociales,4-5,Desarrollo compromisos personales y sociales,"Participo en debates y discusiones: asumo una posición, la confronto con la de otros, la defiendo y soy capaz de modificar mis posturas si lo considero pertinente.",2020-01-25 18:12:03.453072-05
193,Ciencias Sociales,4-5,Desarrollo compromisos personales y sociales,"Respeto mis rasgos individuales y culturales y los de otras personas (género, etnia…).",2020-01-25 18:12:03.453072-05
194,Ciencias Sociales,4-5,Desarrollo compromisos personales y sociales,"Asumo una posición crítica frente a situaciones de discriminación y abuso por irrespeto a los rasgos individuales de las personas (etnia, género…) y propongo formas de cambiarlas.",2020-01-25 18:12:03.453072-05
195,Ciencias Sociales,4-5,Desarrollo compromisos personales y sociales,"Reconozco la importancia de los aportes de algunos legados culturales, científicos, tecnológicos, artísticos, religiosos… en diversas épocas y entornos.",2020-01-25 18:12:03.453072-05
196,Ciencias Sociales,4-5,Desarrollo compromisos personales y sociales,"Participo en la construcción de normas para la convivencia en los grupos a los que pertenezco (familia, colegio, barrio...).",2020-01-25 18:12:03.453072-05
197,Ciencias Sociales,4-5,Desarrollo compromisos personales y sociales,Cuido mi cuerpo y mis relaciones con las demás personas.,2020-01-25 18:12:03.453072-05
198,Ciencias Sociales,4-5,Desarrollo compromisos personales y sociales,Cuido el entorno que me rodea y manejo responsablemente las basuras.,2020-01-25 18:12:03.453072-05
199,Ciencias Sociales,4-5,Desarrollo compromisos personales y sociales,"Uso responsablemente los recursos (papel, agua, alimento, energía…).",2020-01-25 18:12:03.453072-05
200,Ciencias Sociales,4-5,Desarrollo compromisos personales y sociales,"Defiendo mis derechos y los de otras personas y contribuyo a denunciar ante las autoridades competentes (profesor, padres, comisaría de familia…) casos en los que son vulnerados.",2020-01-25 18:12:03.453072-05
201,Inglés,1-3,Escucha,"Reconozco cuando me hablan en inglés y reacciono de manera verbal y no verbal. 2, 3",2020-01-25 18:12:03.453072-05
202,Inglés,1-3,Escucha,"Entiendo cuando me saludan y se despiden de mí. 2, 3",2020-01-25 18:12:03.453072-05
203,Inglés,1-3,Escucha,"Sigo instrucciones relacionadas con actividades de clase y recreativas propuestas por mi profesor. 1, 2",2020-01-25 18:12:03.453072-05
204,Inglés,1-3,Escucha,"Comprendo canciones, rimas y rondas infantiles, y lo demuestro con gestos y movimientos. 2, 3",2020-01-25 18:12:03.453072-05
205,Inglés,1-3,Escucha,"Demuestro comprensión de preguntas sencillas sobre mí, mi familia y mi entorno. 1",2020-01-25 18:12:03.453072-05
206,Inglés,1-3,Escucha,Comprendo descripciones cortas y sencillas de objetos y lugares conocidos. 2,2020-01-25 18:12:03.453072-05
207,Inglés,1-3,Escucha,Identifico a las personas que participan en una conversación. 3,2020-01-25 18:12:03.453072-05
208,Inglés,1-3,Escucha,"Sigo la secuencia de un cuento corto apoyado en imágenes. 1, 2",2020-01-25 18:12:03.453072-05
209,Inglés,1-3,Escucha,"Entiendo la idea general de una historia contada por mi profesor cuando se apoya en movimientos, gestos y cambios de voz. 2, 3",2020-01-25 18:12:03.453072-05
210,Inglés,1-3,Escucha,Reconozco que hay otras personas como yo que se comunican en inglés. 3,2020-01-25 18:12:03.453072-05
211,Inglés,1-3,Escucha,Comprendo secuencias relacionadas con hábitos y rutinas. 2,2020-01-25 18:12:03.453072-05
212,Inglés,1-3,Lectura,"Identifico palabras relacionadas entre sí sobre temas que me son familiares. 1, 2",2020-01-25 18:12:03.453072-05
213,Inglés,1-3,Lectura,"Reconozco palabras y frases cortas en inglés en libros, objetos, juguetes, propagandas y lugares de mi escuela. 3",2020-01-25 18:12:03.453072-05
214,Inglés,1-3,Lectura,Relaciono ilustraciones con oraciones simples. 1,2020-01-25 18:12:03.453072-05
215,Inglés,1-3,Lectura,"Reconozco y sigo instrucciones sencillas, si están ilustradas. 1, 2",2020-01-25 18:12:03.453072-05
216,Inglés,1-3,Lectura,"Puedo predecir una historia a partir del título, las ilustraciones y las palabras clave. 1, 2",2020-01-25 18:12:03.453072-05
217,Inglés,1-3,Lectura,"Sigo la secuencia de una historia sencilla. 1, 2",2020-01-25 18:12:03.453072-05
218,Inglés,1-3,Lectura,"Utilizo diagramas para organizar la información de cuentos cortos leídos en clase. 1, 2",2020-01-25 18:12:03.453072-05
219,Inglés,1-3,Lectura,Disfruto la lectura como una actividad de esparcimiento que me ayuda a descubrir el mundo.,2020-01-25 18:12:03.453072-05
220,Inglés,1-3,Escritura,Copio y transcribo palabras que comprendo y que uso con frecuencia en el salón de clase. 1,2020-01-25 18:12:03.453072-05
221,Inglés,1-3,Escritura,Escribo el nombre de lugares y elementos que reconozco en una ilustración. 1,2020-01-25 18:12:03.453072-05
222,Inglés,1-3,Escritura,"Respondo brevemente a las preguntas “qué, quién, cuándo y dónde”, si se refieren a mi familia, mis amigos o mi colegio. 1",2020-01-25 18:12:03.453072-05
223,Inglés,1-3,Escritura,"Escribo información personal en formatos sencillos. 1, 2",2020-01-25 18:12:03.453072-05
224,Inglés,1-3,Escritura,"Escribo mensajes de invitación y felicitación usando formatos sencillos. 1, 2",2020-01-25 18:12:03.453072-05
225,Inglés,1-3,Escritura,Demuestro conocimiento de las estructuras básicas del inglés. 1,2020-01-25 18:12:03.453072-05
226,Inglés,1-3,Monólogos,"Recito y canto rimas, poemas y trabalenguas que comprendo, con ritmo y entonación adecuados. 1, 3",2020-01-25 18:12:03.453072-05
227,Inglés,1-3,Monólogos,"Expreso mis sentimientos y estados de ánimo. 1, 2",2020-01-25 18:12:03.453072-05
228,Inglés,1-3,Monólogos,"Menciono lo que me gusta y lo que no me gusta. 1, 2",2020-01-25 18:12:03.453072-05
229,Inglés,1-3,Monólogos,Describo lo que estoy haciendo. 2,2020-01-25 18:12:03.453072-05
230,Inglés,1-3,Monólogos,"Nombro algunas cosas que puedo hacer y que no puedo hacer. 1, 2",2020-01-25 18:12:03.453072-05
231,Inglés,1-3,Monólogos,Describo lo que hacen algunos miembros de mi comunidad. 2,2020-01-25 18:12:03.453072-05
232,Inglés,1-3,Monólogos,"Uso gestos y movimientos corporales para hacerme entender mejor. 2, 3",2020-01-25 18:12:03.453072-05
233,Inglés,1-3,Monólogos,"Describo algunas características de mí mismo, de otras personas, de animales, de lugares y del clima. 1, 2",2020-01-25 18:12:03.453072-05
234,Inglés,1-3,Monólogos,"Participo en representaciones cortas; memorizo y comprendo los parlamentos. 1, 2",2020-01-25 18:12:03.453072-05
235,Inglés,1-3,Conversación,Respondo a saludos y a despedidas. 2,2020-01-25 18:12:03.453072-05
236,Inglés,1-3,Conversación,Respondo a preguntas sobre cómo me siento. 2,2020-01-25 18:12:03.453072-05
237,Inglés,1-3,Conversación,"Uso expresiones cotidianas para expresar mis necesidades inmediatas en el aula. 1, 2",2020-01-25 18:12:03.453072-05
238,Inglés,1-3,Conversación,"Utilizo el lenguaje no verbal cuando no puedo responder verbalmente a preguntas sobre mis preferencias. Por ejemplo, asintiendo o negando con la cabeza. 2, 3",2020-01-25 18:12:03.453072-05
239,Inglés,1-3,Conversación,"Expreso e indico necesidades personales básicas relacionadas con el aula. 2, 3",2020-01-25 18:12:03.453072-05
240,Inglés,1-3,Conversación,"Respondo a preguntas sobre personas, objetos y lugares de mi entorno. 2",2020-01-25 18:12:03.453072-05
241,Inglés,1-3,Conversación,Pido que me repitan el mensaje cuando no lo comprendo.,2020-01-25 18:12:03.453072-05
242,Inglés,1-3,Conversación,"Participó activamente en juegos de palabras y rondas. 1, 3",2020-01-25 18:12:03.453072-05
243,Inglés,1-3,Conversación,Refuerzo con gestos lo que digo para hacerme entender. 3,2020-01-25 18:12:03.453072-05
244,Inglés,4-5,Escucha,"Sigo atentamente lo que dicen mi profesor y mis compañeros durante un juego o una actividad. 2, 3",2020-01-25 18:12:03.453072-05
245,Inglés,4-5,Escucha,"Participo en juegos y actividades siguiendo instrucciones simples. 1, 2",2020-01-25 18:12:03.453072-05
246,Inglés,4-5,Escucha,"Identifico los nombres de los personajes y los eventos principales de un cuento leído por el profesor y apoyado en imágenes, videos o cualquier tipo de material visual. 1",2020-01-25 18:12:03.453072-05
247,Inglés,4-5,Escucha,Reconozco algunos estados de ánimo a través del tono o volumen de voz en una historia leída por el profesor o en una grabación. 3,2020-01-25 18:12:03.453072-05
248,Inglés,4-5,Escucha,"Identifico de quién me hablan a partir de su descripción física. 1, 2",2020-01-25 18:12:03.453072-05
249,Inglés,4-5,Escucha,"Comprendo información personal proporcionada por mis compañeros y mi profesor. 1, 2",2020-01-25 18:12:03.453072-05
250,Inglés,4-5,Escucha,"Identifico objetos, personas y acciones que me son conocidas en un texto descriptivo corto leído por el profesor. 1, 2",2020-01-25 18:12:03.453072-05
251,Inglés,4-5,Escucha,"Identifico la secuencia de las acciones y las asocio con los momentos del día, cuando alguien describe su rutina diaria. 1, 2, 3",2020-01-25 18:12:03.453072-05
252,Inglés,4-5,Escucha,Memorizo y sigo el ritmo de canciones populares de países angloparlantes. 3,2020-01-25 18:12:03.453072-05
253,Inglés,4-5,Lectura,Asocio un dibujo con su descripción escrita. 2,2020-01-25 18:12:03.453072-05
254,Inglés,4-5,Lectura,"Comprendo descripciones cortas sobre personas, lugares y acciones conocidas. 1, 2",2020-01-25 18:12:03.453072-05
255,Inglés,4-5,Lectura,Ubico en un texto corto los lugares y momentos en que suceden las acciones. 1,2020-01-25 18:12:03.453072-05
256,Inglés,4-5,Lectura,"Identifico las acciones en una secuencia corta de eventos. 1, 2",2020-01-25 18:12:03.453072-05
257,Inglés,4-5,Lectura,Utilizo gráficas para representar la información más relevante de un texto. 2,2020-01-25 18:12:03.453072-05
258,Inglés,4-5,Lectura,Utilizo el diccionario como apoyo a la comprensión de textos.,2020-01-25 18:12:03.453072-05
259,Inglés,4-5,Lectura,"Identifico elementos culturales como nombres propios y lugares, en textos sencillos. 1, 3",2020-01-25 18:12:03.453072-05
260,Inglés,4-5,Lectura,"Leo y entiendo textos auténticos y sencillos sobre acontecimientos concretos asociados a tradiciones culturales que conozco (cumpleaños, navidad, etc.). 1, 3",2020-01-25 18:12:03.453072-05
261,Inglés,4-5,Lectura,"Reconozco, en un texto narrativo corto, aspectos como qué, quién, cuándo y dónde. 1, 2",2020-01-25 18:12:03.453072-05
262,Inglés,4-5,Lectura,"Participo en juegos de búsqueda de palabras desconocidas. 1, 2, 3",2020-01-25 18:12:03.453072-05
263,Inglés,4-5,Escritura,Escribo sobre temas de mi interés. 2,2020-01-25 18:12:03.453072-05
264,Inglés,4-5,Escritura,Escribo descripciones y narraciones cortas basadas en una secuencia de ilustraciones. 2,2020-01-25 18:12:03.453072-05
265,Inglés,4-5,Escritura,"Escribo tarjetas con mensajes cortos de felicitación o invitación. 1, 2, 3",2020-01-25 18:12:03.453072-05
266,Inglés,4-5,Escritura,"Describo los rasgos personales de gente de mi entorno. 1, 2",2020-01-25 18:12:03.453072-05
267,Inglés,4-5,Escritura,"Enlazo frases y oraciones usando conectores que expresan secuencia y adición. 1, 2",2020-01-25 18:12:03.453072-05
268,Inglés,4-5,Escritura,"Escribo textos cortos que describen mi estado de ánimo y mis preferencias. 1, 2",2020-01-25 18:12:03.453072-05
269,Inglés,4-5,Escritura,"Uso adecuadamente estructuras y patrones gramaticales de uso frecuente. 1, 2",2020-01-25 18:12:03.453072-05
270,Inglés,4-5,Escritura,Verifico co la ortografía de las palabras que escribo con frecuencia. 1,2020-01-25 18:12:03.453072-05
271,Inglés,4-5,Escritura,"Escribo pequeñas historias que me imagino. 1, 2, 3",2020-01-25 18:12:03.453072-05
272,Inglés,4-5,Monólogos,"Me describo a mí o a otra persona conocida, con frases simples y cortas, teniendo en cuenta su edad y sus características físicas. 1, 2, 3",2020-01-25 18:12:03.453072-05
273,Inglés,4-5,Monólogos,"Uso oraciones cortas para decir lo que puedo o no puedo hacer. 1, 2",2020-01-25 18:12:03.453072-05
274,Inglés,4-5,Monólogos,Deletreo palabras que me son conocidas. 1,2020-01-25 18:12:03.453072-05
275,Inglés,4-5,Monólogos,"Expreso en una palabra o frase corta, cómo me siento. 1, 2",2020-01-25 18:12:03.453072-05
276,Inglés,4-5,Monólogos,"Digo un texto corto memorizado en una dramatización, ayudándome con gestos. 3",2020-01-25 18:12:03.453072-05
277,Inglés,4-5,Monólogos,"Describo con oraciones simples el clima y determino la ropa necesaria, según corresponda. 2, 3",2020-01-25 18:12:03.453072-05
278,Inglés,4-5,Monólogos,"Recito un trabalenguas sencillo o una rima, o canto el coro de una canción. 1, 3",2020-01-25 18:12:03.453072-05
279,Inglés,4-5,Monólogos,"Hablo de las actividades que realizo habitualmente. 1, 2",2020-01-25 18:12:03.453072-05
280,Inglés,4-5,Monólogos,Busco oportunidades para usar lo que sé en inglés. 3,2020-01-25 18:12:03.453072-05
281,Inglés,4-5,Monólogos,"Puedo hablar de cantidades y contar objetos hasta mil. 1, 2",2020-01-25 18:12:03.453072-05
282,Inglés,4-5,Conversación,"Respondo a preguntas personales como nombre, edad, nacionalidad y dirección, con apoyo de repeticiones cuando sea necesario. 1, 2",2020-01-25 18:12:03.453072-05
283,Inglés,4-5,Conversación,"Puedo saludar de acuerdo con la hora del día, de forma natural y apropiada. 2, 3",2020-01-25 18:12:03.453072-05
284,Inglés,4-5,Conversación,"Saludo cortésmente de acuerdo con la edad y rango del interlocutor. 2, 3",2020-01-25 18:12:03.453072-05
285,Inglés,4-5,Conversación,"Solicito a mi profesor y a mis compañeros que me aclaren una duda o me expliquen algo sobre lo que hablamos. 2, 3",2020-01-25 18:12:03.453072-05
286,Inglés,4-5,Conversación,"Pido y acepto disculpas de forma simple y cortés. 2, 3",2020-01-25 18:12:03.453072-05
287,Inglés,4-5,Conversación,"Sigo y doy instrucciones básicas cuando participo en juegos conocidos. 1, 2",2020-01-25 18:12:03.453072-05
288,Inglés,4-5,Conversación,"Mantengo una conversación simple en inglés con un compañero cuando desarrollo una actividad de aula. 1, 2",2020-01-25 18:12:03.453072-05
289,Inglés,4-5,Conversación,"Pregunto y respondo sobre las características físicas de objetos familiares. 1, 2",2020-01-25 18:12:03.453072-05
290,Inglés,4-5,Conversación,"Respondo preguntas sobre mis gustos y preferencias. 1, 2",2020-01-25 18:12:03.453072-05
291,Inglés,4-5,Conversación,"Puedo cortésmente llamar la atención de mi profesor con una frase corta. 1, 2, 3",2020-01-25 18:12:03.453072-05
292,Castellano,1-3,PRODUCCIÓN TEXTUAL. Produzco textos orales que responden a distintos propósitos comunicativos,"Utilizo, de acuerdo con el contexto, un vocabulario adecuado para expresar mis ideas. ",2020-01-25 18:12:03.453072-05
293,Castellano,1-3,PRODUCCIÓN TEXTUAL. Produzco textos orales que responden a distintos propósitos comunicativos,"Expreso en forma clara mis ideas y sentimientos, según lo amerite la situación comunicativa.",2020-01-25 18:12:03.453072-05
294,Castellano,1-3,PRODUCCIÓN TEXTUAL. Produzco textos orales que responden a distintos propósitos comunicativos,Utilizo la entonación y los matices afectivos de voz para alcanzar mi propósito en diferentes situaciones comunicativas. ,2020-01-25 18:12:03.453072-05
295,Castellano,1-3,PRODUCCIÓN TEXTUAL. Produzco textos orales que responden a distintos propósitos comunicativos,"Tengo en cuenta aspectos semánticos y morfosintácticos, de acuerdo con la situación comunicativa en la que intervengo. ",2020-01-25 18:12:03.453072-05
296,Castellano,1-3,PRODUCCIÓN TEXTUAL. Produzco textos orales que responden a distintos propósitos comunicativos,"Describo personas, objetos, lugares, etc., en forma detallada. ",2020-01-25 18:12:03.453072-05
297,Castellano,1-3,PRODUCCIÓN TEXTUAL. Produzco textos orales que responden a distintos propósitos comunicativos,Describo eventos de manera secuencial. ,2020-01-25 18:12:03.453072-05
298,Castellano,1-3,PRODUCCIÓN TEXTUAL. Produzco textos orales que responden a distintos propósitos comunicativos,Elaboro instrucciones que evidencian secuencias lógicas en la realización de acciones.,2020-01-25 18:12:03.453072-05
299,Castellano,1-3,PRODUCCIÓN TEXTUAL. Produzco textos orales que responden a distintos propósitos comunicativos,Expongo y defiendo mis ideas en función de la situación comunicativa.,2020-01-25 18:12:03.453072-05
300,Castellano,1-3,PRODUCCIÓN TEXTUAL. Produzco textos orales que responden a distintos propósitos comunicativos,Produzco textos escritos que responden a diversas necesidades comunicativas.,2020-01-25 18:12:03.453072-05
301,Castellano,1-3,PRODUCCIÓN TEXTUAL. Produzco textos orales que responden a distintos propósitos comunicativos,"Determino el tema, el posible lector de mi texto y el propósito comunicativo que me lleva a producirlo. ",2020-01-25 18:12:03.453072-05
302,Castellano,1-3,PRODUCCIÓN TEXTUAL. Produzco textos orales que responden a distintos propósitos comunicativos,Elijo el tipo de texto que requiere mi propósito comunicativo. ,2020-01-25 18:12:03.453072-05
303,Castellano,1-3,PRODUCCIÓN TEXTUAL. Produzco textos orales que responden a distintos propósitos comunicativos,"Busco información en distintas fuentes: personas, medios de comunicación y libros, entre otras. ",2020-01-25 18:12:03.453072-05
304,Castellano,1-3,PRODUCCIÓN TEXTUAL. Produzco textos orales que responden a distintos propósitos comunicativos,Elaboro un plan para organizar mis ideas. ,2020-01-25 18:12:03.453072-05
305,Castellano,1-3,PRODUCCIÓN TEXTUAL. Produzco textos orales que responden a distintos propósitos comunicativos,Desarrollo un plan textual para la producción de un texto descriptivo. ,2020-01-25 18:12:03.453072-05
306,Castellano,1-3,PRODUCCIÓN TEXTUAL. Produzco textos orales que responden a distintos propósitos comunicativos,"Reviso, socializo y corrijo mis escritos, teniendo en cuenta las propuestas de mis compañeros y profesor, y atendiendo algunos aspectos gramaticales (concordancia, tiempos verbales, pronombres) y ortográficos (acentuación, mayúsculas, signos de puntuación) de la lengua castellana.",2020-01-25 18:12:03.453072-05
307,Castellano,1-3,COMPRENSIÓN E INTERPRETACIÓN TEXTUAL. Comprendo textos que tienen diferentes formatos y finalidades.,"Leo diferentes clases de textos: manuales, tarjetas, afiches, cartas, periódicos, etc. ",2020-01-25 18:12:03.453072-05
308,Castellano,1-3,COMPRENSIÓN E INTERPRETACIÓN TEXTUAL. Comprendo textos que tienen diferentes formatos y finalidades.,Reconozco la función social de los diversos tipos de textos que leo. ,2020-01-25 18:12:03.453072-05
309,Castellano,1-3,COMPRENSIÓN E INTERPRETACIÓN TEXTUAL. Comprendo textos que tienen diferentes formatos y finalidades.,Identifico la silueta o el formato de los textos que leo. ,2020-01-25 18:12:03.453072-05
310,Castellano,1-3,COMPRENSIÓN E INTERPRETACIÓN TEXTUAL. Comprendo textos que tienen diferentes formatos y finalidades.,"Elaboro hipótesis acerca del sentido global de los textos, antes y durante el proceso de lectura; para el efecto, me apoyo en mis conocimientos previos, las imágenes y los títulos. ",2020-01-25 18:12:03.453072-05
311,Castellano,1-3,COMPRENSIÓN E INTERPRETACIÓN TEXTUAL. Comprendo textos que tienen diferentes formatos y finalidades.,Identifico el propósito comunicativo y la idea global de un texto. ,2020-01-25 18:12:03.453072-05
312,Castellano,1-3,COMPRENSIÓN E INTERPRETACIÓN TEXTUAL. Comprendo textos que tienen diferentes formatos y finalidades.,Elaboro resúmenes y esquemas que dan cuenta del sentido de un texto. ,2020-01-25 18:12:03.453072-05
313,Castellano,1-3,COMPRENSIÓN E INTERPRETACIÓN TEXTUAL. Comprendo textos que tienen diferentes formatos y finalidades.,"Comparo textos de acuerdo con sus formatos, temáticas y funciones.",2020-01-25 18:12:03.453072-05
314,Castellano,1-3,LITERATURA. Comprendo textos literarios para propiciar el desarrollo de mi capacidad creativa y lúdica,"Leo fábulas, cuentos, poemas, relatos mitológicos, leyendas, o cualquier otro texto literario. ",2020-01-25 18:12:03.453072-05
315,Castellano,1-3,LITERATURA. Comprendo textos literarios para propiciar el desarrollo de mi capacidad creativa y lúdica,Elaboro y socializo hipótesis predictivas acerca del contenido de los textos. ,2020-01-25 18:12:03.453072-05
316,Castellano,1-3,LITERATURA. Comprendo textos literarios para propiciar el desarrollo de mi capacidad creativa y lúdica,Identificó  maneras de cómo se formula el inicio y el final de algunas narraciones. ,2020-01-25 18:12:03.453072-05
317,Castellano,1-3,LITERATURA. Comprendo textos literarios para propiciar el desarrollo de mi capacidad creativa y lúdica,"Diferencio poemas, cuentos y obras de teatro. ",2020-01-25 18:12:03.453072-05
318,Castellano,1-3,LITERATURA. Comprendo textos literarios para propiciar el desarrollo de mi capacidad creativa y lúdica,"Recreo relatos y cuentos cambiando personajes, ambientes, hechos y épocas. ",2020-01-25 18:12:03.453072-05
319,Castellano,1-3,LITERATURA. Comprendo textos literarios para propiciar el desarrollo de mi capacidad creativa y lúdica,Participo en la elaboración de guiones para teatro de títeres.,2020-01-25 18:12:03.453072-05
320,Castellano,1-3,MEDIOS DE COMUNICACIÓN Y OTROS SISTEMAS SIMBÓLICOS. Reconozco los medios de comunicación masiva y caracterizo la información que difunden.,Identifico los diversos medios de comunicación masiva con los que interactúo.,2020-01-25 18:12:03.453072-05
321,Castellano,1-3,MEDIOS DE COMUNICACIÓN Y OTROS SISTEMAS SIMBÓLICOS. Reconozco los medios de comunicación masiva y caracterizo la información que difunden.,"Caracterizo algunos medios de comunicación: radio, televisión, prensa, entre otros. ",2020-01-25 18:12:03.453072-05
322,Castellano,1-3,MEDIOS DE COMUNICACIÓN Y OTROS SISTEMAS SIMBÓLICOS. Reconozco los medios de comunicación masiva y caracterizo la información que difunden.,Comento mis programas favoritos de televisión o radio. ,2020-01-25 18:12:03.453072-05
323,Castellano,1-3,MEDIOS DE COMUNICACIÓN Y OTROS SISTEMAS SIMBÓLICOS. Reconozco los medios de comunicación masiva y caracterizo la información que difunden.,Identifico la información que emiten los medios de comunicación masiva y la forma de presentarla. ,2020-01-25 18:12:03.453072-05
